state_cd,2s,49,49,49,49,49,49,49
state_name,40s,Utah,Utah,Utah,Utah,Utah,Utah,Utah
"Industrial self-supplied groundwater withdrawals, saline, in Mgal/d",16s,0.06,2.25,0.07,5.08,35.06,37.53,36.57
"Industrial total self-supplied withdrawals, groundwater, in Mgal/d",16s,20.38,79.67,54.86,39.38,55.71,68.7,73.97
"Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,7.54,28.8,30.86,8.38,14.74,16.4,16.78
"Industrial self-supplied surface-water withdrawals, saline, in Mgal/d",16s,0,0,0,0,92.35,33.1,42.4
"Industrial total self-supplied withdrawals, surface water, in Mgal/d",16s,7.54,28.8,30.86,8.38,107.09,49.5,59.18
"Industrial total self-supplied withdrawals, fresh, in Mgal/d",16s,27.86,106.22,85.65,42.68,35.39,47.57,54.18
"Industrial total self-supplied withdrawals, saline, in Mgal/d",16s,0.06,2.25,0.07,5.08,127.41,70.63,78.97
"Industrial total self-supplied withdrawals, in Mgal/d",16s,27.92,108.47,85.72,47.76,162.8,118.2,133.15
"Industrial deliveries from public supply, in Mgal/d",16s,14.83,21.49,17.29,-,-,-,-
"Industrial total self-supplied withdrawals plus deliveries, in Mgal/d",16s,42.75,129.96,103.01,-,-,-,-
"Industrial consumptive use, fresh, in Mgal/d",16s,18.79,56.31,45.3,-,-,-,-
"Industrial consumptive use, saline, in Mgal/d",16s,0.06,0.99,0.03,-,-,-,-
"Industrial total consumptive use, in Mgal/d",16s,18.85,57.3,45.33,-,-,-,-
"Industrial reclaimed wastewater, in Mgal/d",16s,0,0,0,-,0,0,-
Industrial number of facilities,16s,-,157,2526,-,-,-,-
"Total Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,0,0,0,13.07,13.38,24.03,22.72
"Total Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,6.74,0,4.18,10.48,8.46
"Total Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,6.74,13.07,17.56,34.51,31.18
"Total Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,-,48.23,49.15,44.65,45.58,38.28
"Total Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,0.47,0
"Total Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,48.23,49.15,44.65,46.05,38.28
"Total Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,-,-,48.23,62.22,58.03,69.61,61
"Total Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,6.74,0,4.18,10.95,8.46
"Total Thermoelectric Power total self-supplied withdrawals, total, in Mgal/d",16s,-,-,54.97,62.22,62.21,80.56,69.46
"Total Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,54.97,-,-,-,-
"Total Thermoelectric Power consumptive use, fresh, in Mgal/d",16s,22.31,86.48,47.1,-,-,-,43.58
"Total Thermoelectric Power consumptive use, saline, in Mgal/d",16s,0.52,0.03,0.32,-,-,-,2.46
"Total Thermoelectric Power total consumptive use, in Mgal/d",16s,22.83,86.51,47.42,-,-,-,46.04
"Total Thermoelectric Power power generated, in gigawatt-hours",16s,14392.24,31781.09,31569.88,-,38181.4,38906.96,40494.11
"Total Thermoelectric Power reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,0.51,-
Total Thermoelectric Power number of facilities,16s,-,18,18,-,-,16,-
"Fossil-fuel Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Fossil-fuel Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,0,-,-,-,-
"Fossil-fuel Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,23.55,87.21,48.23,-,-,-,-
"Fossil-fuel Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,23.55,87.21,48.23,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,23.55,87.21,48.23,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, in Mgal/d",16s,-,-,48.23,-,-,-,-
"Fossil-fuel Thermoelectric Power deliveries from public supply, in Mgal/d",16s,0.01,0,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,48.23,-,-,-,-
"Fossil-fuel Thermoelectric Power consumptive use, fresh, in Mgal/d",16s,22.31,86.48,47.1,-,-,-,-
"Fossil-fuel Thermoelectric Power consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total consumptive use, in Mgal/d",16s,22.31,86.48,47.1,-,-,-,-
"Fossil-fuel Thermoelectric Power power generation, in gigawatt-hours",16s,14282.72,31629.27,31395.34,-,-,-,-
"Fossil-fuel Thermoelectric Power reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
Fossil-fuel Thermoelectric Power number of facilities,16s,-,17,14,-,-,-,-
"Geothermal Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,3.88,7.88,6.74,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,3.88,7.88,6.74,-,-,-,-
"Geothermal Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,6.74,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals, in Mgal/d",16s,-,-,6.74,-,-,-,-
"Geothermal Thermoelectric Power deliveries from public supply, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,6.74,-,-,-,-
"Geothermal Thermoelectric Power consumptive use, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power consumptive use, saline, in Mgal/d",16s,0.52,0.03,0.32,-,-,-,-
"Geothermal Thermoelectric Power total consumptive use, in Mgal/d",16s,0.52,0.03,0.32,-,-,-,-
"Geothermal Thermoelectric Power power generation, in gigawatt-hours",16s,109.52,151.82,174.54,-,-,-,-
"Geothermal Thermoelectric Power reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
Geothermal Thermoelectric Power number of facilities,16s,-,1,4,-,-,-,-
"Nuclear Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,0,-,-,-,-
"Nuclear Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals, in Mgal/d",16s,-,-,0,-,-,-,-
"Nuclear Thermoelectric Power deliveries from public supply, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,0,-,-,-,-
"Nuclear Thermoelectric Power consumptive use, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power total consumptive use, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power power generation, in gigawatt-hours",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
Nuclear Thermoelectric Power number of facilities,16s,-,0,0,-,-,-,-
"Thermoelectric Power (Once-through cooling) self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,-,-,-,0,0,0,0
"Thermoelectric Power (Once-through cooling) self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,-,0,0,0,0
"Thermoelectric Power (Once-through cooling) total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,-,0,0,0,0
"Thermoelectric Power (Once-through cooling) self-supplied surface-water withdrawals, fresh, in Mgal/",16s,-,-,-,0,0,0,0
"Thermoelectric Power (Once-through cooling) self-supplied surface-water withdrawals, saline, in Mgal",16s,-,-,-,0,0,0,0
"Thermoelectric Power (Once-through cooling) total self-supplied withdrawals, surface water, in Mgal/",16s,-,-,-,0,0,0,0
"Thermoelectric Power (Once-through cooling) total self-supplied withdrawals, fresh, in Mgal/d",16s,-,-,-,0,0,0,0
"Thermoelectric Power (Once-through cooling) total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,-,0,0,0,0
"Thermoelectric Power (Once-through cooling) total self-supplied withdrawals, total, in Mgal/d",16s,-,-,-,0,0,0,0
"Thermoelectric Power (Once-through cooling) deliveries from public supply, in Mgal/d",16s,-,-,-,-,-,-,-
"Thermoelectric Power (Once-through cooling) total self-supplied withdrawals plus deliveries, in Mgal",16s,-,-,-,-,-,-,-
"Thermoelectric Power (Once-through cooling) consumptive use, fresh, in Mgal/d",16s,-,-,-,-,-,-,0
"Thermoelectric Power (Once-through cooling) consumptive use, saline, in Mgal/d",16s,-,-,-,-,-,-,0
"Thermoelectric Power (Once-through cooling) total consumptive use, in Mgal/d",16s,-,-,-,-,-,-,0
"Thermoelectric Power (Once-through cooling) power generated, in gigawatt-hours",16s,-,-,-,-,0,182.9,0
"Thermoelectric Power (Once-through cooling) reclaimed wastewater, in Mgal/d",16s,-,-,-,-,-,0,-
Thermoelectric Power (Once-through cooling) number of facilities,16s,-,-,-,-,-,1,-
"Thermoelectric Power (Closed-loop cooling) self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,-,-,-,13.07,13.38,24.03,22.72
"Thermoelectric Power (Closed-loop cooling) self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,-,0,4.18,10.48,8.46
"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,-,13.07,17.56,34.51,31.18
"Thermoelectric Power (Closed-loop cooling) self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,-,-,49.15,44.65,45.58,38.28
"Thermoelectric Power (Closed-loop cooling) self-supplied surface-water withdrawals, saline, in Mgal/",16s,-,-,-,0,0,0.47,0
"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,-,49.15,44.65,46.05,38.28
"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals, fresh, in Mgal/d",16s,-,-,-,62.22,58.03,69.61,61
"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,-,0,4.18,10.95,8.46
"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals, total, in Mgal/d",16s,-,-,-,62.22,62.21,80.56,69.46
"Thermoelectric Power (Closed-loop cooling) deliveries from public supply, in Mgal/d",16s,-,-,-,-,-,-,1.33
"Thermoelectric Power (Closed-loop cooling) total self-supplied withdrawals plus deliveries, in Mgal/",16s,-,-,-,-,-,-,70.79
"Thermoelectric Power (Closed-loop cooling) consumptive use, fresh, in Mgal/d",16s,-,-,-,-,-,-,43.58
"Thermoelectric Power (Closed-loop cooling) consumptive use, saline, in Mgal/d",16s,-,-,-,-,-,-,2.46
"Thermoelectric Power (Closed-loop cooling) total consumptive use, in Mgal/d",16s,-,-,-,-,-,-,46.04
"Thermoelectric Power (Closed-loop cooling) power generated, in gigawatt-hours",16s,-,-,-,-,38181.4,38724.06,40494.11
"Thermoelectric Power (Closed-loop cooling) reclaimed wastewater, in Mgal/d",16s,-,-,-,-,-,0.51,0.45
Thermoelectric Power (Closed-loop cooling) number of facilities,16s,-,-,-,-,-,15,13
"Mining self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,50.46,37.15,15.61,8.6,3.73,2.59,1.67
"Mining self-supplied groundwater withdrawals, saline, in Mgal/d",16s,20.94,4.96,7.27,21.46,33.71,41.58,43.68
"Mining total self-supplied withdrawals, groundwater, in Mgal/d",16s,71.4,42.11,22.88,30.06,37.44,44.17,45.35
"Mining self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,5.54,3.56,0.85,17.67,1.41,1.6,1.8
"Mining self-supplied surface-water withdrawals, saline, in Mgal/d",16s,107.89,92.59,142.99,176.79,128.19,204.64,214.35
"Mining total self-supplied withdrawals, surface water, in Mgal/d",16s,113.43,96.15,143.84,194.46,129.6,206.24,216.15
"Mining total self-supplied withdrawals, fresh, in Mgal/d",16s,56,40.71,16.46,26.27,5.14,4.19,3.47
"Mining total self-supplied withdrawals, saline, in Mgal/d",16s,128.83,97.55,150.26,198.25,161.9,246.22,258.03
"Mining total self-supplied withdrawals, in Mgal/d",16s,184.83,138.26,166.72,224.52,167.04,250.41,261.5
"Mining consumptive use, fresh, in Mgal/d",16s,14.94,15.73,11.95,-,-,-,-
"Mining consumptive use, saline, in Mgal/d",16s,122.75,93.65,133.49,-,-,-,-
"Mining total consumptive use, in Mgal/d",16s,137.69,109.38,145.44,-,-,-,-
"Mining reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,0,-
"Livestock self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,-,-,-,7.65,8.18,7.77,7.46
"Livestock self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,-,-,9.61,9.59,8.76,8.44
"Livestock total self-supplied withdrawals, fresh, in Mgal/d",16s,-,-,-,17.26,17.77,16.53,15.9
"Livestock consumptive use, fresh, in Mgal/d",16s,-,-,-,17.26,-,-,-
"Livestock (Stock) self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,30.96,26.9,6.84,-,-,-,-
"Livestock (Stock) self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Stock) total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,6.84,-,-,-,-
"Livestock (Stock) self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,7.17,6.64,9.43,-,-,-,-
"Livestock (Stock) self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Stock) total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,9.43,-,-,-,-
"Livestock (Stock) total self-supplied withdrawals, fresh, in Mgal/d",16s,38.13,33.54,16.27,-,-,-,-
