state_cd,2s,35,35,35,35,35,35,35
state_name,40s,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico
"Industrial self-supplied groundwater withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Industrial total self-supplied withdrawals, groundwater, in Mgal/d",16s,0.39,4.59,6.26,8.8,11.49,4.86,3.4
"Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,0.38,1.72,2.01,1.67,1.72,0.81,0
"Industrial self-supplied surface-water withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Industrial total self-supplied withdrawals, surface water, in Mgal/d",16s,0.38,1.72,2.01,1.67,1.72,0.81,0
"Industrial total self-supplied withdrawals, fresh, in Mgal/d",16s,0.77,6.31,8.27,10.47,13.21,5.67,3.4
"Industrial total self-supplied withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Industrial total self-supplied withdrawals, in Mgal/d",16s,0.77,6.31,8.27,10.47,13.21,5.67,3.4
"Industrial deliveries from public supply, in Mgal/d",16s,2.8,14.63,14.61,-,-,-,-
"Industrial total self-supplied withdrawals plus deliveries, in Mgal/d",16s,3.57,20.94,22.88,-,-,-,-
"Industrial consumptive use, fresh, in Mgal/d",16s,2.08,14.4,12.33,-,-,-,-
"Industrial consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Industrial total consumptive use, in Mgal/d",16s,2.08,14.4,12.33,-,-,-,-
"Industrial reclaimed wastewater, in Mgal/d",16s,0,0,0,-,0,0,0
Industrial number of facilities,16s,-,142,145,-,-,-,-
"Total Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,10.71,9.92,9.3,11.36,10.44,9.59,6.13
"Total Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,0,0
"Total Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,9.3,11.36,10.44,9.59,6.13
"Total Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,-,46.35,45.05,45.48,42.27,27.33
"Total Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,0,0
"Total Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,46.35,45.05,45.48,42.27,27.33
"Total Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,-,-,55.65,56.41,55.92,51.86,33.46
"Total Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,0,0
"Total Thermoelectric Power total self-supplied withdrawals, total, in Mgal/d",16s,-,-,55.65,56.41,55.92,51.86,33.46
"Total Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,55.71,-,-,-,-
"Total Thermoelectric Power consumptive use, fresh, in Mgal/d",16s,43.18,45.66,47.69,-,-,-,27.74
