state_cd,2s,56,56,56,56,56,56,56
state_name,40s,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming
"Industrial self-supplied groundwater withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Industrial total self-supplied withdrawals, groundwater, in Mgal/d",16s,7.81,6,1.59,4.31,4.12,4.92,5.83
"Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,3.62,9.89,1.18,1.47,1.92,1.82,2.21
"Industrial self-supplied surface-water withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Industrial total self-supplied withdrawals, surface water, in Mgal/d",16s,3.62,9.89,1.18,1.47,1.92,1.82,2.21
"Industrial total self-supplied withdrawals, fresh, in Mgal/d",16s,11.43,15.89,2.77,5.78,6.04,6.74,8.04
"Industrial total self-supplied withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Industrial total self-supplied withdrawals, in Mgal/d",16s,11.43,15.89,2.77,5.78,6.04,6.74,8.04
"Industrial deliveries from public supply, in Mgal/d",16s,3.22,5.46,2.36,-,-,-,-
"Industrial total self-supplied withdrawals plus deliveries, in Mgal/d",16s,14.65,21.35,5.13,-,-,-,-
"Industrial consumptive use, fresh, in Mgal/d",16s,1.95,3.19,0.8,-,-,-,-
"Industrial consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Industrial total consumptive use, in Mgal/d",16s,1.95,3.19,0.8,-,-,-,-
"Industrial reclaimed wastewater, in Mgal/d",16s,0,0,0,-,-,-,-
Industrial number of facilities,16s,-,0,0,-,-,-,1818
"Total Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,11.76,0.97,0.97,1.13,1.32,2.29,1.31
"Total Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,0,0
"Total Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,0.97,1.13,1.32,2.29,1.31
"Total Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,-,219.27,242.15,221.46,61.06,50.5
"Total Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,0,0
"Total Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,219.27,242.15,221.46,61.06,50.5
"Total Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,-,-,220.24,243.28,222.78,63.35,51.81
"Total Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,0,0
"Total Thermoelectric Power total self-supplied withdrawals, total, in Mgal/d",16s,-,-,220.24,243.28,222.78,63.35,51.81
"Total Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,220.24,-,-,-,-
