state_cd,2s,32,32,32,32,32,32,32
state_name,40s,Nevada,Nevada,Nevada,Nevada,Nevada,Nevada,Nevada
"Industrial self-supplied groundwater withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Industrial total self-supplied withdrawals, groundwater, in Mgal/d",16s,2.35,9.43,7.43,5.29,0.62,0.7,1.02
"Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,7.8,0.78,7.54,5,5.2,4.53,4.69
"Industrial self-supplied surface-water withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Industrial total self-supplied withdrawals, surface water, in Mgal/d",16s,7.8,0.78,7.54,5,5.2,4.53,4.69
"Industrial total self-supplied withdrawals, fresh, in Mgal/d",16s,10.15,10.21,14.97,10.29,5.82,5.23,5.71
"Industrial total self-supplied withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Industrial total self-supplied withdrawals, in Mgal/d",16s,10.15,10.21,14.97,10.29,5.82,5.23,5.71
"Industrial deliveries from public supply, in Mgal/d",16s,6.3,2.63,2.19,-,-,-,10.24
"Industrial total self-supplied withdrawals plus deliveries, in Mgal/d",16s,16.45,12.84,17.16,-,-,-,15.95
"Industrial consumptive use, fresh, in Mgal/d",16s,3.2,2.51,4.9,-,-,-,4.78
"Industrial consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Industrial total consumptive use, in Mgal/d",16s,3.2,2.51,4.9,-,-,-,-
"Industrial reclaimed wastewater, in Mgal/d",16s,0,0,0,-,-,0,0
Industrial number of facilities,16s,-,3492,3120,-,-,-,13
"Total Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,15.93,11.63,6.25,15.81,14.22,17.9,7.04
"Total Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,30.04,5.55,4.35,10.98,70.93
"Total Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,36.29,21.36,18.57,28.88,77.97
"Total Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,-,20.69,22.14,15.31,3.68,1.69
"Total Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,0,0
"Total Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,20.69,22.14,15.31,3.68,1.69
"Total Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,-,-,26.94,37.95,29.53,21.58,8.73
"Total Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,30.04,5.55,4.35,10.98,70.93
"Total Thermoelectric Power total self-supplied withdrawals, total, in Mgal/d",16s,-,-,56.98,43.5,33.88,32.56,79.66
"Total Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,58.43,-,-,-,-
"Total Thermoelectric Power consumptive use, fresh, in Mgal/d",16s,23.56,34.46,28.39,-,-,-,4.63
"Total Thermoelectric Power consumptive use, saline, in Mgal/d",16s,0,10.35,8.26,-,-,-,27.46
"Total Thermoelectric Power total consumptive use, in Mgal/d",16s,23.56,44.81,36.65,-,-,-,32.09
"Total Thermoelectric Power power generated, in gigawatt-hours",16s,12407.56,19999.26,18927.71,27576.75,21809.34,9988.3,11378.57
"Total Thermoelectric Power reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
Total Thermoelectric Power number of facilities,16s,-,16,12,-,-,-,-
"Fossil-fuel Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,14.92,11.63,6.24,-,-,-,-
"Fossil-fuel Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,6.24,-,-,-,-
"Fossil-fuel Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,7.53,22.03,20.69,-,-,-,-
"Fossil-fuel Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,7.53,22.03,20.69,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,22.45,33.66,26.93,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, in Mgal/d",16s,-,-,26.93,-,-,-,-
"Fossil-fuel Thermoelectric Power deliveries from public supply, in Mgal/d",16s,2.45,0.8,1.45,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,28.38,-,-,-,-
"Fossil-fuel Thermoelectric Power consumptive use, fresh, in Mgal/d",16s,23.41,34.46,28.38,-,-,-,-
"Fossil-fuel Thermoelectric Power consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total consumptive use, in Mgal/d",16s,23.41,34.46,28.38,-,-,-,-
